order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD094145,ID4315827363,2019-01-17,Bakers,"[('Universe Note', 2), ('Alcon 10', 1)]",15850,91.6,-37.8117626,145.0004116,5,15149.1,Summer,True,0.4962,love being able to listen to music easily. still learning all the features available,True
ORD317704,ID0319860976,2019-07-14,Bakers,"[('Toshika 750', 1), ('Olivia x460', 1), ('iStream', 2)]",5845,66.86,-37.8004569,144.9975411,25,4450.61,Winter,False,1.0811,,True
ORD399913,ID0628175729,2019-08-18,Thompson,"[('Olivia x460', 2), ('Universe Note', 2)]",9350,46.58,-37.8127759,144.9483624,25,7059.08,Winter,False,0.1143,no cell signal. phone was a total dud. i couldnt get signal anywhere. not even to make emergency calls. very disappointed.,False
ORD183097,ID3543026234,2019-07-04,Thompson,"[('Thunder line', 1), ('Toshika 750', 2), ('Universe Note', 1)]",14270,74.94,-37.8133513,144.9510831,15,12204.44,Winter,False,0.361,"nice phone bought it because 2 months ago i bought the same phone from att and it was over priced and crashed in seven weeks. att would not help me, so i bought from digico, no problems, great price, great phone.",True
ORD179645,ID3967630078,2019-06-25,Thompson,"[('Universe Note', 2), ('iStream', 1), ('Alcon 10', 2)]",24950,77.4,-37.8178396,144.9527211,5,23779.9,Winter,True,0.7601,"great phone! great phone! takes beautiful pictures, and i've never had a phone where the battery lasts all day even with heavy use!",True
ORD104670,ID0250479896,2019-04-04,Bakers,"[('pearTV', 2), ('Toshika 750', 2), ('iAssist Line', 2), ('Lucent 330S', 1)]",26940,66.28,-37.8175106,145.0028707,15,22965.28,Autumn,False,1.0728,"she love it. it was a gift for my wife, she love it.",True
ORD043595,ID2263404686,2019-09-02,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 1)]",39750,83.49,-37.832478,144.9717312,10,35858.49,Spring,True,1.5573,it works well very nice phone. i like it.,True
ORD404395,ID0260907215,2019-05-20,Bakers,"[('Universe Note', 2), ('pearTV', 2)]",19520,83.66,-37.8269391,145.0094593,0,19603.66,Autumn,True,2.2633,nice phone! everything is working well! nice phone!,True
ORD054186,ID6167344581,2019-07-28,Nickolson,"[('Olivia x460', 2), ('Thunder line', 2), ('iAssist Line', 1)]",9035,62.83,-37.8158964,144.972506,15,7742.58,Winter,False,0.3972,great phone from what i've seen from reviews and what people are saying about it seems like a great phone. olivia has some of the best products and it makes it a convenient buy for people who don't want to pay an arm and a leg on the alcon,True
ORD427176,ID3218293551,2019-10-08,Thompson,"[('Toshika 750', 2), ('Lucent 330S', 2)]",11100,105.96,-37.804659,144.9534312,0,11205.96,Spring,False,1.0531,great phone ! excellent phone . for the cost this can compare to many high end phones on the market. iam very satisfied with this phone and the battery life is great.,True
