order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD162116,ID0577521512,2019/3/15,Nickolson,"[('iAssist Line', 2), ('Toshika 750', 1), ('Alcon 10', 2)]",26670,79.33,-37.823097,144.973591,10,24082.33,Autumn,TRUE,0.6143,"pretty happy with purchase so far !! the one i got was used, it works pretty good so far, very minimal scratches i only found one in the screen... overall i'm very happy with this purchase.",
ORD057568,ID0655124685,2019/4/16,Thompson,"[('Lucent 330S', 2), ('pearTV', 1)]",8770,77.35,-37.8081494,144.9426014,15,7531.85,Autumn,TRUE,0.6387,lucent g love this phone!! great for the price !! i'm so glad i got it ! i recommend this phone for any one who can't afford to pay 2 or 300$ bucks. it works just like a universe or alcon ! i am able to download a lot more apps than a reg pre paid like straightalk.,1
ORD158151,ID0207085815,2019/7/2,,"[('iAssist Line', 1), ('pearTV', 1), ('Olivia x460', 2)]",10985,82.16,-37.8103519,145.0152102,15,9419.41,Winter,TRUE,1.7574,"good good smartphone...but olivia's android system is not very good,sometimes it just have some lag.",1
ORD122129,ID1517123099,2019/11/23,Nickolson,"[('Lucent 330S', 2), ('Universe Note', 1)]",5910,76.46,-37.8151345,144.9751843,10,5395.46,Spring,FALSE,0.6275,nice phone it's was like brand new,1
ORD442034,ID0702451442,2019/9/20,Thompson,"[('Toshika 750', 1), ('Thunder line', 1)]",6500,77.69,-37.8045447,144.9441896,0,6577.69,Spring,FALSE,0.9396,five stars i absolutely love this phone,1
ORD427798,ID0282854627,2019/9/10,Bakers,"[('Alcon 10', 2), ('iAssist Line', 2)]",22350,113.41,-37.8026964,145.0209268,0,22463.41,Spring,TRUE,2.4015,"battery life is not as advertised! well, overall the phone is good for the price that i paid except the battery is worse than my 2 year old honor 6 that i was replacing. the reason i bought it cuz the reviews said phone battery will last a long time. not!",1
ORD450179,ID0441031804,2019/5/8,Thompson,"[('Olivia x460', 1), ('Toshika 750', 2)]",9865,65.68,-37.8133551,144.9377269,5,9437.43,Autumn,FALSE,0.8251,"five stars the arrived arrived in excellent condition, no scratchesq and worked without any issues.",1
ORD056036,ID0202473727,2019/7/30,Thompson,"[('Toshika 750', 1), ('Thunder line', 1), ('Candle Inferno', 2)]",7360,82.62,-37.8040983,144.9334214,0,7442.62,Winter,TRUE,1.5335,best deal! this item was still selling for $50.00 at the att stores. could not ask for a better deal. my daughter said that this was the best day of her life!,1
ORD074321,ID0576830284,2019/5/16,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",13350,66.68,-37.8202524,144.9854686,25,10079.18,Autumn,TRUE,1.4118,phone died out of thr blue!!!! i have had this phone for 33 days and it just stopped working for no reason!!!! i paid $1000 for this phone this is unacceptable!!!,0
ORD212167,ID0576829850,2019/6/19,Nickolson,"[('Alcon 10', 2), ('pearTV', 1), ('iAssist Line', 1)]",26435,68.1,-37.8212735,144.9835621,15,22537.85,Winter,FALSE,1.2676,good phone for the price so far i like the phone. does not have same options as my old phone. but does ok as emergency replacement. i just need to get used to features probably. but easy to use. and yes i am momarazzi so i have definitely use camera and it takes pretty good pictures,1
