order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD365483,ID0282825815,2019/1/15,Thompson,"[('iStream', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",3235,78.49,-37.8011765,144.9518883,10,2989.99,Summer,FALSE,1.3481,"great phone. works great, no complains",TRUE
ORD369035,ID2810326445,2019/5/20,Nickolson,"[('Universe Note', 2), ('iStream', 2)]",7200,100.14,-37.8069623,144.9756412,10,6580.14,Autumn,TRUE,1.4013,disappointed phone is not working what so ever! i’m extremely upset. i’ve contacted pear and they tell me they can’t do anything on their end. extremely stressed and unsatisfied.,FALSE
ORD373347,ID0163643038,2019/11/18,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('iAssist Line', 2)]",13950,58.45,-37.8206517,144.9753299,25,10520.95,Spring,FALSE,0.5574,"data issues and flash issues. when your on a phone call, the data turns off. the flash (light) in the back is mixed with white and orange, the picture comes out orange. i noticed it laggs at times. other than that, it provides 4g, but i encountered call drops at times.",FALSE
ORD102579,ID0361771651,2019/2/22,Bakers,"[('Olivia x460', 2), ('Alcon 10', 2), ('iAssist Line', 1)]",22575,82.89,-37.7998612,144.9786891,25,17014.14,Summer,FALSE,1.8411,amazing this cell phone can give a really good time with your huge display screen what is virtually impossible to get scratched,TRUE
ORD427695,ID5668009781,2019/8/5,Bakers,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,63.58,-37.8044276,145.0017065,10,5954.08,Winter,FALSE,0.8417,great phone value for money fast shipping,TRUE
ORD354816,ID4307007287,2019/6/11,Bakers,"[('Thunder line', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",7490,74.06,-37.7908183,144.9857929,5,7189.56,Winter,FALSE,2.2906,"this is not the droid turbo 2 i like lucentrola and have had several. beware, this phone has the standard, easily breakable screen. either get a protective case or buy the droid turbo 2 with the virtually unbreakable screen.",TRUE
ORD299109,ID0287637393,2019/1/20,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",14445,80.33,-37.8013748,144.9530282,15,12358.58,Summer,FALSE,1.3625,"happy buyer very little cosmetic damage on sides from regular use , works excellent.",TRUE
ORD168952,ID0052600109,2019/3/15,Thompson,"[('iStream', 1), ('Thunder line', 2)]",4510,84.31,-37.8001034,144.9610721,25,3466.81,Autumn,TRUE,1.864,for the price i paid i'm very satisfied great phone,TRUE
ORD448014,ID1985557960,2019/11/19,Nickolson,"[('Universe Note', 2), ('pearTV', 1), ('iAssist Line', 1)]",15435,79.44,-37.8070101,144.9657635,0,15514.44,Spring,FALSE,1.3319,five stars great deal.,TRUE
ORD369548,ID1449431350,2019/8/19,Nickolson,"[('pearTV', 1), ('Alcon 10', 1)]",15260,59.07,-37.8134507,144.9740083,5,14556.07,Winter,TRUE,0.6939,not as describe item description wrong it is a at&t phone,FALSE
ORD419226,ID0579486160,2019/10/10,Thompson,"[('iAssist Line', 1), ('Toshika 750', 2), ('Candle Inferno', 1)]",11295,72.1,-37.815112,144.9496323,0,11367.1,Spring,FALSE,0.3529,everything perfect awesome,TRUE
ORD297498,ID3146808103,2019/1/1,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 2), ('pearTV', 2)]",31380,54.9,-37.8099641,144.9902573,0,31434.9,Summer,FALSE,0.4375,disappointing very disappointing. can’t make calls independently.,FALSE
