order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD365483,ID0282825815,2019-01-15,Thompson,"[('iStream', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",3235,78.49,-37.8011765,144.9518883,10,2989.99,Summer,False,1.3481,"great phone. works great, no complains",True
ORD373347,ID0163643038,2019-11-18,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('iAssist Line', 2)]",13950,58.45,-37.820651700000006,144.97532990000005,25,10520.95,Spring,False,0.5574,"data issues and flash issues. when your on a phone call, the data turns off. the flash (light) in the back is mixed with white and orange, the picture comes out orange. i noticed it laggs at times. other than that, it provides 4g, but i encountered call drops at times.",False
ORD102579,ID0361771651,2019-02-22,Bakers,"[('Olivia x460', 2), ('Alcon 10', 2), ('iAssist Line', 1)]",22575,82.89,-37.7998612,144.9786891,25,17014.14,Summer,False,1.8411,amazing this cell phone can give a really good time with your huge display screen what is virtually impossible to get scratched,True
ORD427695,ID5668009781,2019-08-05,Bakers,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,63.58,-37.8044276,145.00170649999995,10,5954.08,Winter,False,0.8417,great phone value for money fast shipping,True
ORD354816,ID4307007287,2019-06-11,Bakers,"[('Thunder line', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",7490,74.06,-37.7908183,144.9857929,5,7189.56,Winter,False,2.2906,"this is not the droid turbo 2 i like lucentrola and have had several. beware, this phone has the standard, easily breakable screen. either get a protective case or buy the droid turbo 2 with the virtually unbreakable screen.",True
ORD299109,ID0287637393,2019-01-20,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",14445,80.33,-37.8013748,144.95302819999995,15,12358.58,Summer,False,1.3625,"happy buyer very little cosmetic damage on sides from regular use , works excellent.",True
ORD168952,ID0052600109,2019-03-15,Thompson,"[('iStream', 1), ('Thunder line', 2)]",4510,84.31,-37.8001034,144.9610721,25,3466.81,Autumn,True,1.864,for the price i paid i'm very satisfied great phone,True
ORD448014,ID1985557960,2019-11-19,Nickolson,"[('Universe Note', 2), ('pearTV', 1), ('iAssist Line', 1)]",15435,79.44,-37.8070101,144.9657635,0,15514.44,Spring,False,1.3319,five stars great deal.,True
ORD369548,ID1449431350,2019-08-19,Nickolson,"[('pearTV', 1), ('Alcon 10', 1)]",15260,59.07,-37.8134507,144.9740083,5,14556.07,Winter,True,0.6939,not as describe item description wrong it is a at&t phone,False
ORD419226,ID0579486160,2019-10-10,Thompson,"[('iAssist Line', 1), ('Toshika 750', 2), ('Candle Inferno', 1)]",11295,72.1,-37.815112,144.94963230000005,0,11367.1,Spring,False,0.3529,everything perfect awesome,True
ORD297498,ID3146808103,2019-01-01,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 2), ('pearTV', 2)]",31380,54.9,-37.8099641,144.9902573,0,31434.9,Summer,False,0.4375,disappointing very disappointing. can’t make calls independently.,False
ORD107737,ID0568336382,2019-05-11,Thompson,"[('Thunder line', 1), ('Olivia x460', 2), ('Universe Note', 2), ('Lucent 330S', 2)]",13990,80.29,-37.8003526,144.94435190000004,25,10572.79,Autumn,True,1.3922,"stock android experience/ no bloat i enjoy getting the best phones from a couple yrs back for 1/3 the original price. this was a great phone, and it's about as close to stock android as you can get w/o having to load it yourself. i enjoyed it better than my old alcon.",True
